Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,7.5,kgs,20,,,
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,5.0,kgs,20,,,
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,6,,,
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,5,,,
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,4,,,
2025-04-29,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,12.5,kgs,6,,,
2025-04-29,Seated Cable Row,Back,15.0,kgs,20,,,
2025-04-29,Seated Cable Row,Back,25.0,kgs,7,,,
2025-04-29,Seated Cable Row,Back,30.0,kgs,7,,,
2025-04-29,Seated Cable Row,Back,35.0,kgs,5,,,
2025-04-29,Seated Cable Row,Back,35.0,kgs,5,,,
2025-04-29,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,5,,,
2025-04-29,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,5,,,
2025-04-29,Overhead Press (Each Side, Dumbbells),Shoulders,10.0,kgs,3,,,
2025-04-29,Overhead Press (Each Side, Dumbbells),Shoulders,8.0,kgs,2,,,
2025-04-29,Dumbbell Curl (Each Side),Biceps,10.0,kgs,6,,,
2025-04-29,Dumbbell Curl (Each Side),Biceps,8.0,kgs,6,,,
2025-04-29,Dumbbell Curl (Each Side),Biceps,8.0,kgs,6,,,
2025-04-29,Cable Overhead Triceps Extension,Triceps,15.0,kgs,5,,,
2025-04-29,Cable Overhead Triceps Extension,Triceps,10.0,kgs,2,,,
2025-04-29,Cable Overhead Triceps Extension,Triceps,10.0,kgs,6,,,
2025-04-29,Cable Overhead Triceps Extension,Triceps,10.0,kgs,6,,,
2025-04-29,Lat Pulldown,Back,30.0,kgs,15,,,
2025-04-29,Lat Pulldown,Back,40.0,kgs,8,,,
2025-04-29,Lat Pulldown,Back,45.0,kgs,2,,,
2025-04-29,Lat Pulldown,Back,40.0,kgs,3,,,
2025-04-29,Lat Pulldown,Back,40.0,kgs,5,,,
2025-04-30,Romanian Deadlift,Legs,12.0,kgs,8,,,
2025-04-30,Romanian Deadlift,Legs,12.0,kgs,8,,,
2025-04-30,Leg Extension Machine,Legs,15.0,kgs,15,,,
2025-04-30,Leg Extension Machine,Legs,35.0,kgs,6,,,
2025-04-30,Leg Extension Machine,Legs,40.0,kgs,8,,,
2025-04-30,Leg Extension Machine,Legs,50.0,kgs,7,,,
2025-04-30,Leg Extension Machine,Legs,60.0,kgs,5,,,
2025-04-30,Standing Calf Raise Machine,Legs,15.0,kgs,12,,,
2025-04-30,Standing Calf Raise Machine,Legs,20.0,kgs,10,,,
2025-04-30,Standing Calf Raise Machine,Legs,25.0,kgs,7,,,
2025-04-30,Romanian Deadlift,Legs,12.0,kgs,10,,,
2025-04-30,Romanian Deadlift,Legs,12.0,kgs,10,,,
2025-04-30,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,8,,,
2025-04-30,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,6,,,
2025-04-30,Seated Calf Raise Machine (Each Side),Legs,10.0,kgs,7,,,
2025-05-02,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,12,,,
2025-05-02,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,8,,,
2025-05-02,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,5,,,
2025-05-02,Incline Barbell Bench Press Smith Machine (Each Side) (Smith Machine),Chest,10.0,kgs,7,,,
2025-05-02,Cable Lateral Raise (Each Side),Shoulders,1.25,kgs,12,,,
2025-05-02,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,12,,,
2025-05-02,Cable Lateral Raise (Each Side),Shoulders,2.5,kgs,8,,,
2025-05-02,Cable Lateral Raise (Each Side),Shoulders,1.25,kgs,12,,,
2025-05-02,Cable Lateral Raise (Each Side),Shoulders,1.25,kgs,8,,,
2025-05-02,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,12,,,
2025-05-02,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,12.5,kgs,8,,,
2025-05-02,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,12.5,kgs,6,,,
2025-05-02,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,15.0,kgs,5,,,
2025-05-02,Straight-Arm Cable Pushdown,Back,7.5,kgs,7,,,
2025-05-02,Straight-Arm Cable Pushdown,Back,10.0,kgs,9,,,
2025-05-02,Straight-Arm Cable Pushdown,Back,10.0,kgs,10,,,
2025-05-02,Straight-Arm Cable Pushdown,Back,10.0,kgs,10,,,
2025-05-02,Straight-Arm Cable Pushdown,Back,10.0,kgs,10,,,
2025-05-02,Cable Overhead Triceps Extension,Triceps,10.0,kgs,10,,,
2025-05-02,Cable Overhead Triceps Extension,Triceps,10.0,kgs,6,,,
2025-05-02,Cable Overhead Triceps Extension,Triceps,10.0,kgs,6,,,
2025-05-02,Smith Machine Overhead Press,Shoulders,15.0,kgs,6,,,
2025-05-02,Smith Machine Overhead Press,Shoulders,15.0,kgs,6,,,
2025-05-02,Smith Machine Overhead Press,Shoulders,10.0,kgs,6,,,
2025-05-02,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-02,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
